a,tópico,subtópico,pregunta,respuesta1,respuesta2,respuesta3,respuesta_correcta
a,Deportes,Copa Mundial,¿Qué selección nacional tiene en su camiseta y pantalón los colores Naranjas?,Nueva Zelanda,Países bajos/Holanda,Inglaterra,2
a,Deportes,Historia deporte Argentino,¿Qué herramienta se utiliza para jugar el jockey?,Paleta,Palo,Lanza,2
a,Deportes,Clubes y Ligas Mundiales,¿A qué club Argentino representa el tiburón?,Argentinos Juniors,Aldosivi,Estudiantes,2
a,Deportes,Futbolistas,¿Qué jugador francés es la estrella del club PSG?,N'Golo Kanté,Kylian Mbappé,Paul Pogba,2
a,Zoología,Acuáticos,¿En caso de ser atacado que expulsa el pulpo?,Vapor,Tinta,Perlas,2
a,Zoología,Voladores,¿Cuál es el ave más avistada en Argentina y Uruguay?,Hornero,Tero,Viudita Pico Celeste,2
a,Zoología,Terrestres,¿Cuál es el animal terrestre más grande?,León,Elefante,Rinoceronte,2
a,Zoología,Domésticos,¿Qué raza de perro es más utilizado por la policía?,Doberman,Pastor alemán,Pitbull,2
a,Zoología,Otros,¿Qué animales protagonizan las películas de Jurassic Park?,Yacarés,Dinosaurios,Pumas,2
a,Zoología,Alimentación,¿Qué animal es sagrado en India y no se puede comer?,Cerdo,Vaca,Gallina,2
a,Películas y Series,Series,¿Cómo se llama el hijo de Cosmo y Wanda de los padrinos mágicos?,Ricky,Poof,Will,2
a,Películas y Series,Películas,¿Quién es él capitán del perla negra?,Julio César,Jack Sparrow,Will Smith,2
a,Películas y Series,Series,¿Con qué personaje el creador de los Simpson se siente identificado?,Homero Simpson,Bart Simpson,Ned Flanders,2
a,Películas y Series,Películas,¿De qué está hecho el escudo del Capitán América?,Aluminio ,Adamantium,Kriptonita,2
a,Películas y Series,Películas,¿De dónde viene Aquaman?,Nueva Zelanda,Atlantis,Antártida,2
a,Películas y Series,Series,¿De qué género es Top Boy?,Romántica,Crímenes/Dramas,Comédia,2
a,Preguntas Varias,Dispositivos móviles,¿Qué dispositivo móvil es el menos utilizado?,Tablet,Relojes inteligentes,Celulares,1
a,Preguntas Varias,Consolas de videojuegos,"¿Donde comienza la aventura del videojuego ""Pokemon rojo""?",Ciudad Perla,Pueblo Paleta, Cueva Narcañian,2
a,Preguntas Varias,Ciencias,¿Cuál es la fórmula del agua?,O2,H20,CuO,2
a,Preguntas Varias,Videojuegos,¿Cuál es la moneda utilizada en el Fortnite?,Bitcoin,Pavos,Diamantes,2
a,Preguntas Varias,Marcas,¿Cuál de estas compañías es una red Social?,Amazon,Telegram,PedidosYa,2
a,Preguntas Varias,Música,¿De qué género es Soda Stereo?,Trap,Jazz,Rock/Pop,3
a,Historia y Geografía,Historia Argentina,¿Qué cuerpo militar creó San Martín?,Los Patricios,Regimiento de Granaderos a Caballo,Gauchos Aguerridos,2
a,Historia y Geografía,Geografía Argentina,¿Cuántas Provincias/jurisdicciones componen la Argentina?,20,22,24,3
a,Historia y Geografía,Historia Mundial,¿Quién se proclamó a sí mismo Cónsul de Francia?,Napoleón ,Maximilien de Robespierre,Charles de Gaulle,1
a,Historia y Geografía,Historia Antigua,¿En cuántas partes se dividió el imperio romano en el 476 d.c ?,2,3,4,1
a,Historia y Geografía,Banderas y Países,¿Cuál de estos países es de Centro América?,México,Barbados,Honduras,3
a,Historia y Geografía,Geografía Mundial,¿Cuántos continentes existen en nuestro planeta?,7,8,6,1
a,Deportes,Selección Argentina,¿Cuántos títulos tiene la selección Argentina de fútbol masculino?,21,23,22,3
a,Deportes,Jugadores Argentinos,"¿Qué jugador Argentino se crió en el barrio llamado ""Fuerte Apache""?",Juan Román Riquelme,Cristian Pavón,Carlos Tevez,3
a,Deportes,Copa Mundial,¿Cuántos equipos sudamericanos lograron clasificar directamente a un mundial?,5,3,4,3
a,Deportes,Historia deporte Argentino,¿En qué deporte de especializa Rafael Nadal?,Rugby,Natación,Tenis,3
a,Deportes,Clubes y Ligas Mundiales,¿De qué país es la liga de fútbol Eredivisie?,Turquía,Irlanda,Holanda,3
a,Deportes,Futbolistas,¿De qué nacionalidad es Kevin De Bruyne?,Alemania,Inglaterra,Bélgica,3
a,Zoología,Acuáticos,¿Cuál de los siguientes animales marítimos es el más grande?,Orca,Mero/Cherna,Ballena azul,2
a,Zoología,Voladores,¿Cuál de estas aves es carroñera?,Paloma,Cuervo,Buitre,3
a,Zoología,Terrestres,¿Qué animal representa china?,Oso pardo,Oso siberiano,Oso panda,3
a,Zoología,Domésticos,¿Qué raza de perro es de España?,Pitbull,Galgo,Caniche,2
a,Zoología,Otros,¿Qué buscan las abejas en las flores?,Agua,Miel,Polen,3
a,Zoología,Alimentación,"¿Qué animales comen el ""Plancton""?",Terrestres,Aéreos,Acuáticos,3
a,Películas y Series,Series,¿Cómo se llama la hermana de gumball en el increíble mundo de Gumball?,Natalia,Sofia,Anais,3
a,Películas y Series,Películas,¿Quién es Stan Lee?,Médico,Escritor de historia,El creador de marvel,3
a,Películas y Series,Series,¿Cuántas temporadas tiene Stranger Things?,5,3,4,3
a,Películas y Series,Películas,¿De qué género es la película viernes 13?,Romántica,Comedia,Terror,3
a,Películas y Series,Películas,¿De dónde viene Superman?,Kursone-2,Kartomania,Kripton,3
a,Películas y Series,Series,¿Cuál es el nombre completo de Apu de los simpson?,Apu Khatun,Apu Rathod,Apu Nahasapeemapetilon,3
a,Preguntas Varias,Dispositivos móviles,¿Cuál de las siguientes marcas es de dispositivos móviles?,TLC,Sirefon XF,Huawei,3
a,Preguntas Varias,Consolas de videojuegos,¿Cual es el objetivo de Mario Bros? ,Buscar a Luigi,Ser un fontanero profesional,Rescatar una princesa,3
a,Preguntas Varias,Ciencias,¿Cuántos litros de agua hay que tomar por día?,4 litros,2 litros,"3,5 litros",3
a,Preguntas Varias,Videojuegos,¿Cuál es el primer pokémon que Ash Ketchum capturó?,Pikachu,Pidgey,Caterpie,3
a,Preguntas Varias,Marcas,¿Quién es el creador de Facebook?,Bill Gates,Elon Musk,Mark Zuckerberg,3
a,Preguntas Varias,Música,¿A qué artista representa la triple T?,Thalía,Tiago PZK,Tini,3
